name,cash
Consultation - Fee Specialised Clinic - Oncology,30000
Consultation - Eye clinic,30000
Consultation ANC/Registration,30000
Consultation Fee  - Oncology,30000
Consultation Fee - Consultant,30000
Consultation Fee - MO,30000
Consultation Fee - Medical,30000
Consultation Fee - Obs & Gyn,30000
Consultation Fee - Pediatrics,30000
Consultation Fee- Surgical,30000
Consultation Fees - Diabetic Clinic,30000
Consultation OPD Specialised Clinic - Medical,30000
Consultation OPD Specialised Clinic - Obs & Gyn,30000
Consultation OPD Specialised Clinic - Pediatrics,30000
Consultation OPD Specialised Clinic - Surgical,30000
Consultation fee - Emergency,30000
Consultation fee - Wellness Clinic,30000
Consultation fee - neurophysician 1st visit,30000
Consultation fee - neurophysician Follow up,30000
Consultation fee - neurosurgeon 1st visit,30000
Consultation fee - neurosurgeon follow ups,30000
OPD Specialised clinics consultation,30000
DM Consultation,30000
